Eskilstuna sjöscoutkår;Skabben, Ängsholmen, Torshälla;88.2;59.454;16.477
Österfärnebo SMU;Betania, Österfärnebo;88.6;60.304;16.795
SMU i Sunnemo;Gräs Sandbäcken, Sunnemo;89.8;59.852;13.747
Siljansnäs SMU;Björkbergsvägen 28, Siljansnäs;90.8;60.774;14.867
SMU i Tärnsjö;Kapellvägen 2 A, Tärnsjö;90.8;60.152;16.928
Hagfors KFUK-KFUM Scoutkår;Dalavägen 1, Hagfors;90.9;60.031;13.701
Torshälla scoutkår;Skeppartorpsvägen 2, Torshälla;90.9;59.425;16.489
Baptistkyrkans Ungdom, Ekeby;Björkavägen 28, Kumla;92.7;59.16;15.273
Lekebergskyrkans ungdom;Kyrkvägen 6, Fjugesta;94.7;59.173;14.879
Eskilstuna Scoutkår;Alva Myrdals gata 3 D, Eskilstuna;96.2;59.369;16.511
S:t Eskilskyrkans Ungdom;Båtsmansgatan 5, Eskilstuna;96.5;59.365;16.51
SMU i Kumla;Sveavägen 12, Kumla;97.1;59.125;15.144
Kumla scoutkår;Magasingatan 10 B, Kumla;97.5;59.122;15.14
SMU i Degerfors;Herrgårdsgatan 4, Degerfors;98.1;59.235;14.441
Husby-Rekarne scoutkår;Vid Skogstorpskolan, Eskilstuna;99.1;59.319;16.477
SMU i Väse;Väse, Backa 513, Väse;99.7;59.464;13.897
Rättviks scoutkår;Järnvägsgatan 6, Rättvik;100.2;60.885;15.119
Näshulta scoutkår;Hagberget, Näshulta;100.2;59.224;16.253
SMU i Ölme;Ölme Lilla Skanum, Kristinehamn;100.9;59.386;13.997
Broängskyrkans unga - en del av equmenia;Kungsgatan 24, Kristinehamn;102.3;59.313;14.106
Pålsboda KFUK-KFUM Scoutkår;Scoutstugan Folkasbo, Pålsboda;102.6;59.071;15.347
Scoutkåren Frälsningsarmén Kristinehamn;Spelmansgatan 23, Kristinehamn;102.7;59.307;14.109
equmenia i Hallsberg;Trädgårdsgatan 8, Hallsberg;103.0;59.067;15.333
SMU i Hedesunda;Missionskyrkan, Skolvägen 6, Hedesunda;103.4;60.394;17.009
equmenia Björneborg ;SMU i Björneborg, Björneborg;103.5;59.24;14.251
equmenia Scout Kilsmo;Björkudden, Kilsmo;103.6;59.068;15.539
Equmenia Scout Hallsberg;Trädgårdsgatan 8, Hallsberg;104.1;59.064;15.113
SMU i Harbo;Ekvägen 5, Harbo;104.5;60.102;17.191
equmenia Enköping;Enöglavägen 41, Enköping;105.0;59.643;17.066
Sandvikens scoutkår;Sätragatan 36, Sandviken;105.1;60.609;16.765
SMU i Östervåla;Åbyvägen 1, Östervåla;105.4;60.181;17.183
SMU i Harbo och Östervåla;Åbyvägen 1, Östervåla;105.4;60.182;17.183
SMU/SBUF i Sandviken;Kanalkyrkan, Odengatan 56, Sandviken;106.1;60.621;16.77
Enköpings scoutkår;Stockholmsvägen 38, Enköping;106.1;59.64;17.086
Ransbergs Scoutkår;Ransbergs Herrgård, Ransäter;108.6;59.775;13.438
Equmenia Ekbackskyrkan;Parkvägen 17, Vingåker;109.9;59.045;15.874
Berga Scoutkår, Vingåker;;110.1;59.043;15.87
ÅloppeScouterna;Nysätra Mosta 1, Örsundsbro;110.4;59.75;17.24
Kjesäters scoutkår;;111.0;59.041;15.914
Kristallkyrkans ungdom;Parkgatan 1, Vretstorp;111.2;59.022;14.866
SMU i Nysund-Rudskoga;Källsbo 3488, Åtorp;111.5;59.118;14.366
SMU i Visnum;Vike Herrbacken, Kristinehamn;111.9;59.202;14.105
KFUK-KFUM Bäckhammar Scoutkår;Älgmyrevägen, Kristinehamn;113.0;59.157;14.193
Skattkärrs Scoutkår;Skogsvallsvägen, Skattkärr;113.2;59.415;13.673
Forshaga Scoutkår;Slottsvägen 2, Forshaga;115.5;59.529;13.489
SMU i Forshaga;Storgatan 42, Forshaga;115.8;59.532;13.481
Strängnäs scoutkår;Scoutvägen 1, Strängnäs;117.1;59.377;17.014
Olivehällkyrkans Ungdom i Strängnäs;Vallbyvägen 35, Strängnäs;117.6;59.369;17.014
Malung-Sälens scoutkår;Alvägen 4, Malung;118.5;60.693;13.715
SMU i Östra Ämtervik;Gunnerud, Gunnebo, Östra Ämtervik;120.2;59.731;13.247
Equmenia Fridhemskyrkan;Kyrkogatan 34, Mora;120.7;61.002;14.536
